Id,SalePrice
1461,115949.8
1462,155595.86
1463,180697.53
1464,194054.98
1465,186187.11
1466,172120.16
1467,171150.97
1468,173291.73
1469,193142.83
1470,121509.26
1471,194690.06
1472,96628.59
1473,90828.75
1474,153281.84
1475,122439.27
1476,435224.6
1477,266548.62
1478,279435.78
1479,288254.88
1480,490814.0
1481,337935.3
1482,209842.12
1483,169895.81
1484,168176.94
1485,173909.33
1486,195727.17
1487,332609.78
1488,228357.05
1489,212385.47
1490,218041.3
1491,187332.69
1492,97272.39
1493,199781.72
1494,302254.53
1495,273709.25
1496,225306.34
1497,184716.08
1498,155803.95
1499,161570.52
1500,152979.25
1501,178577.1
1502,153364.11
1503,328226.7
1504,233974.36
1505,223489.61
1506,199713.03
1507,237269.23
1508,190061.64
1509,162944.0
1510,148558.2
1511,149852.27
1512,171567.48
1513,160142.2
1514,173992.38
1515,186600.55
1516,156429.9
1517,164964.88
1518,121062.3
1519,217076.08
1520,133983.56
1521,138692.28
1522,153588.48
1523,114346.69
1524,128329.21
1525,122126.516
1526,123491.22
1527,112163.09
1528,126926.47
1529,141646.06
1530,173717.17
1531,111903.2
1532,97169.79
1533,136346.81
1534,119457.0
1535,160343.86
1536,115886.04
1537,76767.35
1538,151621.19
1539,209201.61
1540,108460.71
1541,142686.77
1542,132761.83
1543,206419.84
1544,77628.766
1545,102330.93
1546,125155.95
1547,128760.89
1548,126128.79
1549,107146.99
1550,132960.94
1551,107675.26
1552,133234.38
1553,153625.02
1554,119358.91
1555,171414.22
1556,87116.33
1557,113232.07
1558,93353.37
1559,118508.72
1560,126711.38
1561,149403.17
1562,127085.97
1563,120540.95
1564,156994.17
1565,149014.31
1566,227046.88
1567,75175.52
1568,222372.05
1569,164783.42
1570,141429.62
1571,135222.5
1572,145368.56
1573,239280.14
1574,89255.67
1575,199749.4
1576,208191.33
1577,204520.28
1578,157262.28
1579,145825.33
1580,183795.1
1581,148338.78
1582,130443.8
1583,322571.1
1584,236220.64
1585,141168.16
1586,70012.336
1587,109613.52
1588,162152.73
1589,101968.98
1590,137463.12
1591,108270.375
1592,115430.195
1593,123277.18
1594,257343.16
1595,106388.625
1596,244665.84
1597,180151.58
1598,197335.3
1599,170005.97
1600,171867.12
1601,69798.234
1602,115793.98
1603,97475.766
1604,269475.78
1605,249560.36
1606,165868.14
1607,190330.52
1608,216247.0
1609,198650.27
1610,162911.94
1611,149721.14
1612,163510.58
1613,156527.28
1614,113882.54
1615,91184.22
1616,74702.24
1617,87145.586
1618,126062.56
1619,147537.16
1620,155153.25
1621,142831.72
1622,147678.77
1623,287253.53
1624,207933.62
1625,115405.82
1626,163859.52
1627,178350.75
1628,260139.86
1629,182179.06
1630,319740.44
1631,239380.77
1632,259764.94
1633,169655.17
1634,184475.58
1635,181943.61
1636,155220.62
1637,183638.72
1638,202440.94
1639,178961.75
1640,262237.44
1641,178490.72
1642,231295.6
1643,213433.28
1644,226268.2
1645,185127.03
1646,153649.83
1647,154089.88
1648,133990.25
1649,138900.14
1650,122646.086
1651,129110.375
1652,98446.6
1653,100753.81
1654,153205.89
1655,142286.53
1656,147022.73
1657,150822.5
1658,153682.2
1659,127507.48
1660,156502.02
1661,486542.25
1662,401327.9
1663,386417.03
1664,464326.84
1665,296240.25
1666,294962.3
1667,408847.56
1668,313443.62
1669,304159.8
1670,331699.66
1671,240738.9
1672,441175.62
1673,310635.22
1674,254745.03
1675,189169.48
1676,192872.08
1677,221853.66
1678,415017.78
1679,352430.97
