Id,SalePrice
1461,117947.22
1462,169399.81
1463,170857.25
1464,183359.5
1465,151661.92
1466,168291.56
1467,167565.44
1468,145141.88
1469,166138.94
1470,121193.83
1471,163919.34
1472,144330.9
1473,134044.78
1474,141003.31
1475,95534.05
1476,260068.03
1477,197826.16
1478,257659.81
1479,230009.25
1480,377302.75
1481,268625.44
1482,176949.53
1483,147070.75
1484,139939.28
1485,137409.75
1486,173064.34
1487,267547.7
1488,205960.5
1489,150414.0
1490,183152.47
1491,180020.94
1492,118003.94
1493,192788.19
1494,267956.0
1495,241696.42
1496,173313.34
1497,153607.31
1498,130256.836
1499,119421.984
1500,137742.95
1501,220005.38
1502,103360.39
1503,191646.23
1504,200688.88
1505,194346.31
1506,214735.86
1507,240657.95
1508,182415.61
1509,160888.25
1510,169520.16
1511,130609.445
1512,202470.16
1513,181322.0
1514,198650.23
1515,260327.88
1516,166476.78
1517,153822.66
1518,175864.33
1519,225614.86
1520,143552.53
1521,146318.53
1522,219789.34
1523,131158.0
1524,120607.16
1525,97789.73
1526,103949.516
1527,113924.45
1528,150714.92
1529,134398.06
1530,222057.1
1531,231207.72
1532,102199.53
1533,148931.02
1534,125151.94
1535,155394.12
1536,109672.16
1537,96303.11
1538,150689.11
1539,208142.75
1540,194938.72
1541,140592.1
1542,152996.53
1543,183853.28
1544,96890.875
1545,100629.28
1546,122076.11
1547,169820.88
1548,144335.1
1549,119906.39
1550,146357.34
1551,113140.56
1552,159711.72
1553,174005.38
1554,112635.88
1555,198737.03
1556,101427.266
1557,130351.984
1558,92622.62
1559,151635.47
1560,162200.8
1561,206073.97
1562,110141.78
1563,118590.5
1564,151721.27
1565,150520.05
1566,188434.56
1567,95220.89
1568,235999.25
1569,144660.48
1570,122447.734
1571,148832.39
1572,150528.56
1573,172138.62
1574,154984.94
1575,207617.45
1576,213964.31
1577,150875.81
1578,139273.89
1579,114526.05
1580,161514.72
1581,141699.81
1582,104095.71
1583,255452.23
1584,214441.56
1585,122224.59
1586,76906.89
1587,115589.88
1588,143015.6
1589,120564.516
1590,123469.375
1591,111946.86
1592,155647.38
1593,109095.21
1594,209403.11
1595,165518.11
1596,223073.88
1597,230186.97
1598,152198.06
1599,127294.375
1600,142181.62
1601,67240.89
1602,124712.44
1603,91941.875
